id;identifier;generation_id;is_main_series;;
1;stench;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(1,""stench"",3,1);"
2;drizzle;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(2,""drizzle"",3,1);"
3;speed-boost;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(3,""speed-boost"",3,1);"
4;battle-armor;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(4,""battle-armor"",3,1);"
5;sturdy;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(5,""sturdy"",3,1);"
6;damp;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(6,""damp"",3,1);"
7;limber;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(7,""limber"",3,1);"
8;sand-veil;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(8,""sand-veil"",3,1);"
9;static;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(9,""static"",3,1);"
10;volt-absorb;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(10,""volt-absorb"",3,1);"
11;water-absorb;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(11,""water-absorb"",3,1);"
12;oblivious;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(12,""oblivious"",3,1);"
13;cloud-nine;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(13,""cloud-nine"",3,1);"
14;compound-eyes;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(14,""compound-eyes"",3,1);"
15;insomnia;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(15,""insomnia"",3,1);"
16;color-change;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(16,""color-change"",3,1);"
17;immunity;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(17,""immunity"",3,1);"
18;flash-fire;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(18,""flash-fire"",3,1);"
19;shield-dust;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(19,""shield-dust"",3,1);"
20;own-tempo;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(20,""own-tempo"",3,1);"
21;suction-cups;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(21,""suction-cups"",3,1);"
22;intimidate;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(22,""intimidate"",3,1);"
23;shadow-tag;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(23,""shadow-tag"",3,1);"
24;rough-skin;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(24,""rough-skin"",3,1);"
25;wonder-guard;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(25,""wonder-guard"",3,1);"
26;levitate;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(26,""levitate"",3,1);"
27;effect-spore;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(27,""effect-spore"",3,1);"
28;synchronize;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(28,""synchronize"",3,1);"
29;clear-body;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(29,""clear-body"",3,1);"
30;natural-cure;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(30,""natural-cure"",3,1);"
31;lightning-rod;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(31,""lightning-rod"",3,1);"
32;serene-grace;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(32,""serene-grace"",3,1);"
33;swift-swim;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(33,""swift-swim"",3,1);"
34;chlorophyll;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(34,""chlorophyll"",3,1);"
35;illuminate;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(35,""illuminate"",3,1);"
36;trace;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(36,""trace"",3,1);"
37;huge-power;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(37,""huge-power"",3,1);"
38;poison-point;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(38,""poison-point"",3,1);"
39;inner-focus;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(39,""inner-focus"",3,1);"
40;magma-armor;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(40,""magma-armor"",3,1);"
41;water-veil;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(41,""water-veil"",3,1);"
42;magnet-pull;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(42,""magnet-pull"",3,1);"
43;soundproof;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(43,""soundproof"",3,1);"
44;rain-dish;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(44,""rain-dish"",3,1);"
45;sand-stream;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(45,""sand-stream"",3,1);"
46;pressure;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(46,""pressure"",3,1);"
47;thick-fat;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(47,""thick-fat"",3,1);"
48;early-bird;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(48,""early-bird"",3,1);"
49;flame-body;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(49,""flame-body"",3,1);"
50;run-away;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(50,""run-away"",3,1);"
51;keen-eye;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(51,""keen-eye"",3,1);"
52;hyper-cutter;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(52,""hyper-cutter"",3,1);"
53;pickup;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(53,""pickup"",3,1);"
54;truant;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(54,""truant"",3,1);"
55;hustle;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(55,""hustle"",3,1);"
56;cute-charm;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(56,""cute-charm"",3,1);"
57;plus;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(57,""plus"",3,1);"
58;minus;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(58,""minus"",3,1);"
59;forecast;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(59,""forecast"",3,1);"
60;sticky-hold;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(60,""sticky-hold"",3,1);"
61;shed-skin;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(61,""shed-skin"",3,1);"
62;guts;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(62,""guts"",3,1);"
63;marvel-scale;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(63,""marvel-scale"",3,1);"
64;liquid-ooze;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(64,""liquid-ooze"",3,1);"
65;overgrow;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(65,""overgrow"",3,1);"
